Kod,Nazwa,JM,WysokoscCm,SzerokoscCm,DlugoscCm,JmZ,Przelicznik_JmJmZ,WagaKG,Typ,NumerKatalogowy,SWW,Grupa,StanMin,StanMax,VAT,VATZak,VATFlaga,VatZakFlaga,EAN,Opis,OpakowanieKaucja,OdwrotneObciazenie,CenaZCzteremaMiejscami,Granica ceny,Minimalna cena/mar¿a,Dostawca,Kod u dostawcy,Kod producenta,KosztUslugiTyp,KosztUslugi,KosztUslugiWal,Waluta,Intrastat - kod CN,Intrastat - kraj pochodzenia,Intrastat - masa,Intrastat - JmPomPrzelicznikL,Intrastat - JmPomPrzelicznikM,Podzielona p³atnoœæ,Cena zakupu,Waluta Cena zakupu,Cena hurtowa 1,Waluta Cena hurtowa 1,Cena hurtowa 2,Waluta Cena hurtowa 2,Cena hurtowa 3,Waluta Cena hurtowa 3,Cena detaliczna,Waluta Cena detaliczna
104-uniw,"Moon Sparkle TXB026 - 36 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210264,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,53.23,PLN,141.46,PLN,0,PLN,0,PLN,174,PLN
1050-uniw,"Rewelka P7233 - 16 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,42.16,PLN,0,PLN,0,PLN,51.86,PLN
1051-uniw,"Georgia  LDC120 - 25 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,25.77,PLN,0,PLN,0,PLN,31.7,PLN
1052-uniw,"Uran P7032 - 25 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604903568,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,23.17,PLN,44.55,PLN,0,PLN,0,PLN,54.8,PLN
1053-uniw,"Indiana P7036  - 25 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5907604904039,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,23.61,PLN,45.45,PLN,0,PLN,0,PLN,55.9,PLN
1054-uniw,"Montana P7039 - 25 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,26.91,PLN,0,PLN,0,PLN,33.1,PLN
1055-uniw,"Corfu P7241 - 25 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,25.77,PLN,0,PLN,0,PLN,31.7,PLN
1056-uniw,"Mediolan P7888 - 100 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,189.23,PLN,363.9,PLN,0,PLN,0,PLN,447.6,PLN
1058-uniw,Zestaw sznurów Huker XP0001,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,134.15,PLN,0,PLN,0,PLN,299.4,PLN
1059-uniw,Œwieca dymna JFS-2 - czarny,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,11.22,PLN,0,PLN,0,PLN,13.8,PLN
105-uniw,"Demolka TXB075 - 49 strza³ów 1.2""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5906160210752,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,122.18,PLN,234.96,PLN,0,PLN,0,PLN,289,PLN
1060-uniw,Thunder Master 2 FD3 - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,13.74,PLN,0,PLN,0,PLN,16.9,PLN
1061-uniw,Dextrin JC06 - 30 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,10.98,PLN,0,PLN,0,PLN,13.5,PLN
1062-uniw,"Scream Tropic TB166 - 25 strza³ów 1""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,5908221908400,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,71.42,PLN,142.85,PLN,0,PLN,0,PLN,175.7,PLN
1063-uniw,"Abracadabra VA8260 - 30 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,33.82,PLN,0,PLN,0,PLN,41.6,PLN
1064-uniw,"Absolute Mix 332 - 29 strza³ów 0.9""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,7331444006062,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,36.18,PLN,0,PLN,0,PLN,44.5,PLN
1065-uniw,"Asgaard 251 - 91 strza³ów 0.9""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,119.51,PLN,0,PLN,0,PLN,147,PLN
